City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Malanje,AO,2023-01-13 03:55:43,-9.5402,16.341,62.56,99,100,5.48
273,Mitsamiouli,KM,2023-01-13 03:55:43,-11.3847,43.2844,77.29,83,20,5.75
274,Kasongo-Lunda,CD,2023-01-13 03:55:44,-6.4667,16.8167,67.66,99,99,1.45
275,Wanning,CN,2023-01-13 03:55:44,18.8003,110.3967,79.99,69,5,10.25
276,Saint-Augustin,CA,2023-01-13 03:55:44,51.226,-58.6502,4.12,95,50,3.13
277,Mehamn,NO,2023-01-13 03:55:45,71.0357,27.8492,33.71,80,20,10.36
278,Kohtla-Jarve,EE,2023-01-13 03:55:45,59.3986,27.2731,37.31,97,100,21.63
279,Acapulco,MX,2023-01-13 03:54:51,16.8634,-99.8901,76.41,73,0,2.66
280,Alice Springs,AU,2023-01-13 03:55:46,-23.7,133.8833,92.75,33,1,13.8
281,Barstow,US,2023-01-13 03:55:46,34.8986,-117.0228,43.79,48,100,4.85
282,Oranjestad,AW,2023-01-13 03:55:46,12.524,-70.027,78.91,85,40,12.66
283,Champerico,GT,2023-01-13 03:55:47,14.3,-91.9167,77.74,79,1,6.53
284,San Luis,AR,2023-01-13 03:54:45,-33.295,-66.3356,63.86,57,14,4.36
285,Gladstone,AU,2023-01-13 03:55:47,-23.85,151.25,73.33,88,100,9.22
286,Sabang,ID,2023-01-13 03:55:48,5.8933,95.3214,79.9,76,89,2.82
287,Fairbanks,US,2023-01-13 03:52:59,64.8378,-147.7164,-5.8,81,20,0.0
288,Leshukonskoye,RU,2023-01-13 03:55:48,64.8989,45.7622,20.66,92,100,11.63
289,Glen Allen,US,2023-01-13 03:55:48,37.666,-77.5064,55.45,93,100,8.01
290,Takapau,NZ,2023-01-13 03:55:49,-40.0333,176.35,63.73,64,93,5.5
291,Kungurtug,RU,2023-01-13 03:55:49,50.5994,97.5228,-20.2,83,18,1.57
